"tr_n";"k";"p";"o";"s";"tr_type";"tr_cap"
"210/209";14;5;0;0;"rapid";774
"206/205";1;14;0;0;"rapid";792
"134/133";7;8;0;1;"rapid";702
"123/124";10;8;0;0;"rapid";792
"100/99";5;9;1;0;"rapid";747
"93/94";6;10;0;1;"rapid";774
"90/89празд";5;10;1;0;"rapid";801
"73/74";6;10;0;1;"rapid";774
"67/68";8;10;0;0;"rapid";828
"67/68";9;8;0;0;"rapid";756
"45/45";8;9;0;1;"rapid";792
"43/44з";7;9;0;0;"rapid";738
"43/44л";9;8;0;0;"rapid";756
"42/41";10;7;0;1;"rapid";756
"39/40";6;9;0;1;"rapid";720
"33/34";9;8;0;0;"rapid";756
"519/520";7;10;0;0;"pass";792
"510/510";12;6;0;0;"pass";756
"489/490";7;11;0;0;"pass";846
"483/484";10;8;0;0;"pass";792
"480/479";8;8;0;0;"pass";720
"477/478";12;8;0;1;"pass";882
"466/465";4;14;0;0;"pass";900
"457/457";9;6;0;0;"pass";648
"455/456";7;8;0;0;"pass";684
"445/446";8;8;0;0;"pass";720
"426/425";6;9;0;0;"pass";702
"423/423";8;8;0;0;"pass";720
"419/419";7;9;0;0;"pass";738
"391/392з";7;10;0;0;"pass";792
"391/392л";7;6;0;0;"pass";576
"389/389з";7;10;0;0;"pass";792
"389/389л";10;7;0;0;"pass";738
"381/381";7;10;0;0;"pass";792
"373/373";9;11;0;0;"pass";918
"365/365з";5;15;0;0;"pass";990
"365/365л";10;8;0;0;"pass";792
"364/363";5;9;0;1;"pass";684
"360/359з";9;7;1;0;"pass";783
"360/359л";8;5;1;1;"pass";657
"358/357";8;7;0;1;"pass";684
"345/345";5;7;0;0;"pass";558
"346/346з";5;8;0;1;"pass";630
"346/346л";7;11;0;1;"pass";864
"332/331з";9;8;0;0;"pass";756
"332/331л";8;7;1;1;"pass";765
"324/323";7;7;1;0;"pass";711
"318/317";6;9;0;0;"pass";702
"315/316";7;12;0;0;"pass";900
"305/306";4;14;0;0;"pass";900
"303/304";5;11;0;0;"pass";774
"279/280";9;8;0;0;"rapid";756
"273/274";10;8;0;0;"rapid";792
"269/270л";10;8;0;0;"rapid";792
"257/257";7;10;0;0;"rapid";792
"253/254";9;11;0;0;"rapid";918
"249/250";7;9;0;0;"rapid";738
"243/243";6;9;0;0;"rapid";702
"241/242";10;8;0;0;"rapid";792
"235/235";11;9;0;0;"rapid";882
"211/211";8;9;0;0;"rapid";774
"205/205";8;7;0;0;"rapid";666
"197/197з";7;8;0;0;"rapid";684
"197/197л";8;7;0;0;"rapid";666
"193/193";9;8;0;0;"rapid";756
"146/145(2)";10;7;0;0;"rapid";738
"146/145(1)";8;9;0;0;"rapid";774
"142/142з";6;13;0;0;"rapid";918
"131/132з";7;11;0;1;"rapid";864
"131/132л";9;9;0;1;"rapid";828
"129/129з";7;8;0;0;"rapid";684
"129/129л";5;9;0;0;"rapid";666
"127/128з";9;11;0;0;"rapid";918
"127/128л";7;12;0;0;"rapid";900
"115/115";9;7;0;0;"rapid";702
"107/108";5;11;0;0;"rapid";774
"99/99з";8;7;0;0;"rapid";666
"99/99л";8;7;0;0;"rapid";666
"83/84";7;10;0;0;"rapid";792
"71/72";6;8;0;1;"rapid";666
